Listing warnings for log file:  C:\td\trunk\logdir\tdbuild-release-31-Thu-10-11480394.log
Total warnings in all files = 5101
Warnings:   File:
        1   .\UnifyReportBuilderDoc.cpp
        5   ..\..\xercesSRC\xercesc\util\XMLString.cpp
       16   c:\td\trunk\sqlwindows\include\../share/res/resource.h
        1   ..\..\Util\include\intl.h
       10   ..\..\ReportBuilder\rdw\grergrec.cpp
        1   ..\..\SQLWindows\share\oam\OAMCOUTL.CPP
       12   ..\..\ReportBuilder\rdw\grefisav.cpp
        6   ..\..\DBExplorer\cgreport\cgrvsup.cpp
        2   c:\td\trunk\qdbexplorer\QuestQQT.h
       24   ..\..\DBExplorer\cgreport\cgre.cpp
       24   ..\..\SQLWindows\share\fes\ufc.cpp
        2   ..\..\SQLWindows\share\sal\salfmt.cpp
       18   ..\..\xercesSRC\xercesc/validators/common/ContentLeafNameTypeVector.hpp
        1   ..\..\SQLWindows\exe\err\GDBGOUTP.CPP
        8   c:\td\trunk\build\QLanguage\QGERMAN\..\..\..\util\include\..\..\SQLWindows\exe\res\resource.h
      164   ..\..\..\util\include\errsql.h
        3   ..\..\Components\vt\vthdrlb.cpp
       18   ..\Include\ExtGridWnd.h
        1   ..\..\Components\vt\vtblob.cpp
        6   ..\..\SQLWindows\exe\mfcui\DOCSQLW.CPP
        5   ..\..\ReportBuilder\rdw\rdwdsg.cpp
        3   ..\..\SQLWindows\puh\PPGroundPage.cpp
       14   ..\..\Components\GTABLEEX\TableSTRUCT.cpp
        1   ..\..\SQLWindows\share\sal\SalDock.cpp
        1   c:\td\trunk\profui\include\ExtGridWnd.h
        1   ..\..\sqlsyb32\c\SQSCON.CPP
        1   c:\td\trunk\dbexplorer\gee\geelexu.cpp
        1   ..\..\ReportBuilder\rdw\rdwdlgtp.cpp
        2   ..\..\\profui\Include\ExtGridWnd.h
        6   ..\..\ReportBuilder\rdw\rdwselec.cpp
        1   ..\..\SQLWindows\exe\mfcui\TaskDlg.cpp
        1   ..\..\Util\fed\fedmdi.cpp
        3   ..\..\SQLWindows\share\com\comprs.cpp
        4   c:\td\trunk\build\QLanguage\QGERMAN\..\..\..\util\include\dbres.h
        1   ..\..\Util\tabexp\TXVIEW.CPP
        1   ..\..\SQLWindows\exe\inspect\CSAIChsColor.cpp
        2   ..\Src\ExtControlsCommon.cpp
        4   ..\..\util\tabexp\txtoutlineitemtab.cpp
        4   ..\..\QO\src\qckrpt\cppmatch.cpp
       21   ..\..\QO\src\qckgraph2\qckgraph2.cpp
        2   ..\..\ReportBuilder\rdw\gredlgev.cpp
        1   ..\..\SQLWindows\puh\TabCtlGround.cpp
        1   c:\td\trunk\reportbuilder\rdw\grerg.cpp
       55   ..\..\SQLWindows\share\sal\sal.cpp
        1   ..\..\Components\vt\vtwinflg.cpp
        4   c:\td\trunk\qdbexplorer\QuestQSD.h
        5   ..\..\SQLWindows\exe\mfcui\VWOUTLIN.CPP
       18   ..\..\QO\src\qckrpt\cquikrep.cpp
        4   ..\..\ReportBuilder\PDFHelper\PDFHelper.cpp
        2   ..\..\DBExplorer\cgsql\CGSQLSEL.CPP
        1   c:\td\trunk\routers\sqlifx32\h\datetime.h
        2   c:\td\trunk\xercesSRC\xercesc/sax2/SAX2XMLReader.hpp
        2   ..\..\SQLWindows\exe\mfcui\VWSQLW.CPP
       28   ..\..\SQLWindows\regtests\testlib\testlib.cpp
       10   ..\..\QO\src\qckrpt\clabels.cpp
        8   ..\..\Util\gtitools\fmtutil.cpp
       20   ..\..\DBExplorer\gee\geeblock.cpp
        1   ..\..\SQLWindows\share\oam\oamcat.cpp
        1   .\UnifyReportBuilderPropPage.cpp
        8   c:\td\trunk\sqlwindows\exe\mfcui\..\res\resource.h
        1   .\UnifyReportBuilder.cpp
        7   ..\..\SQLWindows\exe\inspect\MessageDlg.cpp
        3   c:\td\trunk\reportbuilder\rtf\rtf.cpp
        5   ..\..\SQLWindows\share\fes\feshookd.cpp
